"date","country","country_pt","operator","aircraft","total_survivors","description","year","total_fatalities","id","continent"
"04/19/1928","Spain","Espanha","Iberia Airlines","Rohrbach Roland",9,"Caiu no nevoeiro.","1928",9,141,"Europa"
"05/26/1928","Germany","Alemanha","Deutsche Lufthansa","Junkers F-13",5,"Erro do piloto.","1928",3,144,"Europa"
"09/04/1928","Australia","Austrália","Qantas","de Havilland DH.50J",2,"Após a conclusão de uma viagem aérea transportando Sir John Salmond, a aeronave partiu de Adelaide pilotada por C. W. A. Scott com um engenheiro como passageiro. O controle foi perdido na nuvem durante uma tentativa de cruzar as colinas de Adelaide; a aeronave caiu e pegou fogo.","1928",1,152,"Oceânia"
"09/06/1928","Germany","Alemanha","Deutsche Lufthansa","Fokker FG III",3,"Falha do motor.","1928",3,154,"Europa"
"12/03/1928","Brazil","Brasil","Syndicato Condor","Dornier Wal",14,"O hidroavião decolou da baía e evitou por pouco uma colisão com outro avião e, no processo, desviou bruscamente e tão abruptamente que uma das asas foi esticada além de seus limites. O piloto então perdeu o controle da aeronave e ela caiu, a cauda girando 300 pés na água, onde um dos motores explodiu com o impacto. Afundou imediatamente.","1928",14,163,"América"
"12/11/1928","Germany","Alemanha","Deutsche Lufthansa","Junkers G-31",4,"Relacionado com o clima.","1928",3,165,"Europa"
"12/31/1928","France","França","CIDNA","Blériot Spad 66",3,"Caiu em terreno alto no meio do nevoeiro.","1928",2,168,"Europa"
"06/10/1929","Cuba","Cuba","Pan American Airways","Fokker F-X",5,"Caiu durante a decolagem. O campo lamacento impediu que a aeronave ganhasse altitude. O avião atingiu fios de telefone e caiu.","1929",2,179,"América"
"06/29/1929","Switzerland","Suíça","Aero Lloyd","Domier Delphin III",5,"A aeronave caiu no lago Constance ao tentar pousar.","1929",5,183,"Europa"
"08/24/1929","Germany","Alemanha","Deutsche Lufthansa","Fokker FG II",5,"Relacionado com o clima.","1929",4,188,"Europa"
"09/17/1929","Morocco","Marrocos","Aeropostale","Latecoere 25-3-R",5,"Caiu no Mediterrâneo.","1929",5,192,"África"
"10/26/1929","Italy","Itália","Imperial Airways","Short Calcutta",7,"A aeronave afundou no oceano depois de encontrar ventos fortes. Afundou enquanto estava a reboque. O avião foi batizado de 'Cidade de Roma'.","1929",7,195,"Europa"
"11/04/1929","Mexico","México","Corp. Aeronautica de Transportes","Lockheed Vega 5",4,"O avião do correio caiu em meio a uma névoa densa.","1929",4,198,"América"
"11/15/1929","France","França","Air Union","Liore et Olivier 190",3,"Caiu no Mediterrâneo em meio ao nevoeiro.","1929",3,200,"Europa"
"12/19/1929","Germany","Alemanha","Deutsche Lufthansa","Arado V1",3,"Aterragem forçada a 40 milhas de Berlim.","1929",2,204,"Europa"
"07/07/1930","Denmark","Dinamarca","Deutsche Lufthansa","Dornier Wal",8,"O barco voador pousou em uma tempestade em mar aberto devido a uma falha de motor. Depois de três horas, o avião foi virado por uma grande onda.","1930",5,216,"Europa"
"10/05/1930","France","França","Militar - Ministério da Aeronáutica Britânica","Royal Airship Works R-101",54,"O dirigível estava em seu vôo inaugural de Cardington, na Inglaterra, para Karachi (Paquistão). Durante uma tempestade na primeira noite, ele despencou repentinamente, nivelou-se brevemente e mergulhou novamente, quebrando e queimando. Os preparativos foram apressados por motivos políticos e não houve nenhum voo de teste em alta velocidade. Com o vento e a chuva, a tampa externa se abriu na frente de modo que os dois sacos de gasolina da frente se romperam simultaneamente. Soltar o lastro levantou o nariz, mas apenas porque também houve o elevador dinamométrico, que foi prontamente perdido quando a velocidade foi reduzida, provavelmente para salvar os airbags restantes.","1930",48,221,"Europa"
"10/06/1930","Germany","Alemanha","Deutsche Lufthansa","Messerschmitt M-20B",8,"Bateu na colina ao tentar pousar.","1930",8,222,"Europa"
"10/12/1930","Morocco","Marrocos","Aeropostale","Latecoere 28",4,"O avião postal francês caiu nas montanhas.","1930",4,223,"África"
"10/30/1930","France","França","Imperial Airways","Handley Página W-8",6,"Caiu em terreno alto no nevoeiro após perder um motor. O avião foi batizado de 'Cidade de Washington'.","1930",3,225,"Europa"
"11/07/1930","Brazil","Brasil","Syndicato Condor","Junkers G-24",9,"Caiu no mar.","1930",1,227,"América"
"12/09/1930","China","China","China National Aviation Corporation","Loening C-W Air Yaht",6,"A asa inferior direita da aeronave atingiu o mastro de um barco de rio e o avião capotou de costas e caiu na margem de um rio. A aeronave foi nomeada 'Shanghai'.","1930",4,229,"Ásia"
"03/21/1931","Australia","Austrália","Australian National Airways","Avro 10",8,"Destroços encontrados em 26/10/1958.","1931",8,235,"Oceânia"
"04/14/1931","Germany","Alemanha","Deutsche Lufthansa","Messerschmitt M-20",10,"Falha de fuselagem. Quatro ficaram gravemente feridos e o piloto e o operador de rádio morreram.","1931",2,237,"Europa"
"06/13/1931","Germany","Alemanha","Deutsche Lufthansa","Dornier Merkur",4,"Depois de circular na névoa por meia hora, o avião subiu para cerca de 300 pés e o nariz mergulhou no solo e explodiu em chamas. Falha do motor.","1931",4,243,"Europa"
"07/24/1931","Bulgaria","Bulgária","CIDNA","Fokker F-VII",7,"A aeronave pegou fogo no ar e caiu.","1931",7,247,"Europa"
"11/24/1931","China","China","China National Aviation Corporation","Stinson",3,"Caiu na cordilheira Chingshan, 10 milhas ao sul de Tsinan, em meio à neblina.","1931",3,256,"Ásia"
"12/06/1931","Thailand","Tailândia","KLM Royal Dutch Airlines","Fokker F-VIIb-3M",7,"Não ganhou altitude durante a decolagem. O trem de pouso atingiu o topo de uma barragem e o avião caiu.","1931",5,259,"Ásia"
"11/02/1932","Germany","Alemanha","Deutsche Lufthansa","Junkers F-13",5,"Caiu em terreno montanhoso nas montanhas Spessart no meio do nevoeiro.","1932",5,285,"Europa"
"03/11/1933","Argentina","Argentina","Pan American Grace Airways","Fairchild FC-2W",2,"Esmagado e queimado.","1933",2,295,"América"
"03/28/1933","Belgium","Bélgica","Imperial Airways","Armstrong Whitworth Argosy II",15,"O avião estava a cerca de 4.000 pés quando o fogo foi observado saindo de sua cauda. O piloto tentou fazer um pouso de emergência, mas a fuselagem se partiu em duas, causando o acidente e o incêndio. Embora nunca provado, este é considerado o primeiro desastre aéreo causado por um ato de satotagem. Acredita-se que o incêndio tenha sido iniciado por um passageiro em uma tentativa de suicídio.","1933",15,297,"Europa"
"04/23/1933","Italy","Itália","Air Orient","Cams 33",6,"Caiu em uma montanha.","1933",6,300,"Europa"
"04/29/1933","Germany","Alemanha","Eurásia","Junkers W-34",4,"Caiu em um voo de teste antes da entrega para a Eurásia, na China.","1933",4,301,"Europa"
"05/09/1933","Spain","Espanha","Aeropostale - La Tecoere Company","Latecoere 28-1",6,"Caiu ao pousar no nevoeiro.","1933",6,302,"Europa"
"11/21/1933","Ukraine","Ucrânia","Kalinin","Kalinin K-7",20,"Caiu devido a falha estrutural durante um vôo de teste.","1933",14,311,"Europa"
"12/11/1933","Germany","Alemanha","Deutsche Lufthansa","Focke-Wulf A-17",8,"Caiu após colidir com um obstáculo ao pousar com pouca visibilidade.","1933",7,313,"Europa"
"12/30/1933","Belgium","Bélgica","Imperial Airways","Avro 10",10,"Bateu em uma torre de antena de rádio e arrancou uma asa em uma névoa densa.","1933",10,315,"Europa"
"01/15/1934","France","França","Ar francês","Dewoitine D-332",14,"A aeronave caiu durante uma forte tempestade de neve. Glacê. A aeronave foi chamada de 'Emeraude.'","1934",14,316,"Europa"
"03/10/1934","Colombia","Colômbia","Pan American Airways (Scadta)","Barco voador Sikorsky S-38",6,"Scadta era uma subsidiária da Pan Am. Ele estava operando um farol doméstico, que caiu na selva colombiana, que foi chamado de 'Inferno Verde'. Cinco índios Goigira, que subiam o rio Uribe de canoa, encontraram peças de roupa e depois os cadáveres de cinco pessoas no acidente e nos destroços da aeronave. Eles também encontraram um homem que estava vivo, mas tonto, exausto, meio louco e incapaz de falar. Eles o carregaram por sete dias pela selva até a civilização. Mais tarde, ele se recuperou e seu nome era Newton C. Marshall, Gerente Geral da South American Gold & Platinum Company. Ele foi o único sobrevivente.","1934",5,321,"América"
"03/22/1934","Peru","Peru","Pan American Grace Companhias Aéreas","Ford 5-AT-C Tri-motor",15,"Caiu na decolagem devido a falha do motor.","1934",3,322,"América"
"06/11/1934","Argentina","Argentina","Panagra","Ford 5-AT-C Tri-motor",10,"Caiu na lagoa Mar Chiquita durante uma forte tempestade.","1934",5,327,"América"
"06/22/1934","Germany","Alemanha","Deutsche Lufthansa","Dornier Merkur",7,"Relacionado com o clima.","1934",1,328,"Europa"
"07/27/1934","Germany","Alemanha","Swissair","Curtiss AT-32C Condor",12,"A aeronave caiu durante uma violenta tempestade perto da fronteira Suíça - Alemanha. O avião caiu de uma altura de 3.000 pés, explodindo em chamas.","1934",12,331,"Europa"
"10/03/1934","Australia","Austrália","Qantas","de Havilland DH-50A",3,"Caiu após a perda de controle em voo, possivelmente estagnou em baixa altitude em condições de baixa visibilidade empoeiradas","1934",3,335,"Oceânia"
"10/19/1934","Australia","Austrália","Holyman Airways","de Havilland DH-86",11,"Caiu durante a rota marítima de 265 milhas.","1934",11,336,"Oceânia"
"11/15/1934","Australia","Austrália","Qantas","de Havilland DH-86",4,"Caiu em seu vôo de entrega da Inglaterra para Brisbane após a perda de controle durante o vôo, provavelmente devido às deficiências de design do tipo.","1934",4,338,"Oceânia"
"12/10/1934","Cuba","Cuba","Cubana de Aviacion","Ford 4-AT-E Tri-motor",8,"Caiu em uma montanha durante o trajeto.","1934",4,343,"América"
"01/31/1935","Germany","Alemanha","Deruluft","Junkers JU-52 / 3m",11,"Caiu a toda velocidade em uma colina, a 150 metros de altura sob chuva e nevoeiro. Erro do piloto.","1935",11,347,"Europa"
"03/15/1935","Egypt","Egito","Misrair","de Havilland Dragon 1",6,"Depois de voar sobre o aeroporto com um forte vento contrário, na tentativa de pousar, um dos dois motores da aeronave falhou. Ao tentar retornar ao aeroporto, o piloto dirigiu-se para o vento forte e perdeu velocidade no ar até estolar e cair de uma altura de 30 a 30 metros.","1935",3,349,"África"
"04/01/1935","France","França","Ar francês","Farman F-300",3,"Piloto-chefe da Air France, Robert Bajac, 36, morto.","1935",1,351,"Europa"
"04/06/1935","Germany","Alemanha","KLM Royal Dutch Airlines","Fokker F-12",7,"Caiu após penetrar em uma tempestade.","1935",7,352,"Europa"
"05/18/1935","Russia","Rússia","Gor'ky Eskadril'ya","Tupolev ANT-20 / I-5",50,"Colisão no ar com um caça I-5 a 2.300 pés. O caça estava realizando acrobacias tentando contornar o Tupolev. O avião caiu em um bairro residencial e estava em seu vôo inaugural. O avião foi apelidado de 'Maxim Gorky'. Erro do piloto. Quarenta e nove mortos no Tupolev, um na I-5","1935",0,356,"Ásia"
"06/24/1935","Colombia","Colômbia","Servicio Aereo Columbiano / SCADTA","Ford Tri-Motor / Ford Tri-Motor",20,"Ocorreu uma colisão entre os dois Ford Tri-Motors, pois um mal havia saído do solo e o outro ainda estava no campo de aviação Olaya Herrera. O acidente foi oficialmente atribuído ao vento forte ou a uma aeronave sendo lançada contra a outra aeronave durante a decolagem. A rivalidade entre os dois pilotos pode ter influenciado o acidente, já que um piloto havia zumbido nos outros quatro dias antes do acidente. O ator e cantor Carlos Gardel, 44, e seu letrista Alfredo Le Pera, 35, entre os mortos.","1935",17,360,"América"
"07/20/1935","Switzerland","Suíça","KLM Royal Dutch Airlines","Douglas DC-2",13,"Caiu em uma montanha perto da passagem de São Bernardo, na Suíça. Montanhas obscurecidas por nuvens.","1935",13,363,"Europa"
"11/02/1935","Brazil","Brasil","Ar francês","Latécoère 28-1",4,"O avião dos correios caiu na praia de Atalaya.","1935",4,374,"América"
"12/24/1935","Germany","Alemanha","Deutsche Lufthansa","Heinkel He-70",3,"Erro do piloto.","1935",3,380,"Europa"
"12/31/1935","Egypt","Egito","Imperial Airways","Short Calcutta",13,"A aeronave ficou sem combustível e caiu em Alexandria. O avião foi batizado de 'Cidade de Cartum'.","1935",12,381,"África"
"03/05/1936","China","China","China National Aviation Corporation","Ford 5-AT-D Tri-motor",6,"Crash pousou nas montanhas durante uma tempestade de neve.","1936",0,387,"Ásia"
"03/26/1936","Mexico","México","Compania de Mexico","Ford 5-AT-B Tri motor",14,"Caiu nas montanhas e pegou fogo. O avião transportava principalmente turistas alemães.","1936",14,388,"América"
"04/15/1936","Italy","Itália","Avio Linee Italiane","OFM F-VIIb / 3m",7,"Caiu nas encostas do Monte Basso, a 20 milhas de Torino.","1936",7,392,"Europa"
"06/09/1936","Sweden","Suécia","Aerotransporte A B","Fokker F-XXII",15,"Todos os quatro motores da aeronave pararam durante a decolagem. O piloto tentou pousar, mas bateu em uma casa. Primeiro acidente fatal de aviação na Suécia.","1936",1,397,"Europa"
"06/13/1936","Germany","Alemanha","Deutsche Lufthansa","Junkers JU-160",6,"Falha do motor.","1936",1,398,"Europa"
"06/16/1936","Norway","Noruega","Den Norske Luftfartskole","Junkers JU-52 / 3m",7,"Caiu na encosta de uma montanha no meio do nevoeiro.","1936",7,399,"Europa"
"07/31/1936","Jersey","Jersey","Guernsey Airways","Saro Cloud",7,"Caiu no mar.","1936",7,400,"Europa"
"08/02/1936","France","França","Ar francês","Wibault 280",3,"O avião do correio caiu em montanhas a 50 milhas de Toulouse no meio do nevoeiro.","1936",3,401,"Europa"
"11/01/1936","Germany","Alemanha","Deutsche Lufthansa","Junkers JU-52",15,"Peguei fogo quando o avião atingiu a encosta de uma colina.","1936",11,412,"Europa"
"11/17/1936","Germany","Alemanha","Deutsche Lufthansa","Junkers JU-52 / 3m",16,"Erro do piloto.","1936",4,414,"Europa"
"12/04/1936","France","França","Deutsche Lufthansa","Junkers JU-52 / 3m",6,"Caiu nos Alpes franceses com ventos fortes.","1936",6,416,"Europa"
"01/26/1937","Algeria","Argélia","Sabena","Sabca S-73",12,"O avião do correio caiu durante o trajeto.","1937",12,426,"África"
"03/24/1937","France","França","Imperial Airways","Short S-23 (barco voador)",6,"Caiu na encosta de uma montanha durante uma tempestade de neve.","1937",5,430,"Europa"
"03/26/1937","Germany","Alemanha","Deutsche Lufthansa","Junkers JU-52 / 3m",6,"Falha do motor.","1937",2,432,"Europa"
"05/20/1937","Germany","Alemanha","Deutsche Lufthansa","Heinkel He-70",4,"Caiu na decolagem.","1937",4,434,"Europa"
"07/28/1937","Belgium","Bélgica","KLM Royal Dutch Airlines","Douglas DC-2-115L",15,"A aeronave colidiu com um campo de batata após possivelmente ser atingida por um raio e após um incêndio durante o vôo.","1937",15,436,"Europa"
"08/03/1937","Panama","Panamá","Pan American Grace Airways","Sikorsky S-43",14,"O barco voador mergulhou no oceano a 20 milhas de Cristobal. O avião provavelmente atingiu a água em alta velocidade e foi destruído por uma explosão imediata e fogo.","1937",14,438,"América"
"08/23/1937","Argentina","Argentina","Pan American Grace Airways","Douglas DC-2",3,"Caiu e queimou em uma névoa densa durante a rota.","1937",3,441,"América"
"03/23/1938","France","França","Ar francês","Dewoitine D-338",8,"O avião do correio caiu nas montanhas dos Pireneus durante o trajeto.","1938",8,443,"Europa"
"10/01/1937","Greece","Grécia","Imperial Airways","Short Empire Flying Boat",14,"Caiu ao pousar na Baía de Phaleron. Dois passageiros morreram afogados. A má visibilidade foi responsabilizada pelo acidente.","1937",2,444,"Europa"
"11/12/1937","Germany","Alemanha","Deutsche Lufthansa","Heinkel He-111",12,"Bata no chão prematuramente ao tentar pousar.","1937",10,447,"Europa"
"12/05/1937","Italy","Itália","Imperial Airways","Short Empire Flying Boat",19,"O barco voador caiu ao tentar decolar. A aeronave foi nomeada Cygnus.","1937",2,450,"Europa"
"12/08/1937","France","França","Ar francês","Potez 621",7,"Caiu em más condições meteorológicas.","1937",2,451,"Europa"
"01/04/1938","Germany","Alemanha","Deutsche Lufthansa","Junkers JU-52 / 3m",6,"O gelo na asa fez com que o avião caísse perto de seu destino.","1938",6,453,"Europa"
"02/05/1938","Russia","Rússia","TsAGI","V6 (dirigível)",19,"O dirigível caiu durante um voo experimental para resgatar cientistas russos em um bloco de gelo na Groenlândia. O dirigível se chocou contra a encosta de uma montanha.","1938",13,458,"Ásia"
"02/09/1938","France","França","Ar francês","Lioré-et-Olivier H-242",12,"O barco voador atingiu o quebra-mar a 60 milhas por hora e pegou fogo ao tentar decolar.","1938",8,459,"Europa"
"02/09/1938","Mexico","México","Mexicana","Lockheed 10 Electra",2,"Caiu em um segundo vôo de teste.","1938",2,460,"América"
"02/22/1938","France","França","Deutsche Lufthansa","Junkers JU.52",3,"Caiu no nevoeiro a poucos quilômetros de seu destino, perto do Aeroporto de Bourget.","1938",3,461,"Europa"
"03/07/1938","India","Índia","Ar francês","Potez 621",7,"Caiu e explodiu em chamas logo após decolar de Dum Dum.","1938",7,463,"Ásia"
"04/12/1938","Italy","Itália","Ala Littoria","Junkers JU-52",19,"Caiu nas montanhas.","1938",19,465,"Europa"
"05/05/1938","Mexico","México","Lineas Aéreas Mineras","Lockheed Vega 5B",6,"Caiu no caminho","1938",1,466,"América"
"05/22/1938","Brazil","Brasil","Cruzeiro do sul","Junkers JU-52 / 3m",17,"O avião do correio caiu durante a decolagem.","1938",2,469,"América"
"06/19/1938","Chile","Chile","Pan American Grace Airways","Douglas DC-2",4,"Uma hora depois de deixar Santiago, o contato de rádio com o vôo foi perdido, pois havia caído no alto dos Andes. Só foi encontrado em fevereiro de 1941, por índios, que saquearam a aeronave e os passageiros mortos em busca de objetos de valor.","1938",4,474,"América"
"07/14/1938","Italy","Itália","Ala Littoria","Savoia Marchetti S-66",20,"O barco voador caiu no mar Tirreno após o colapso de uma asa.","1938",20,476,"Europa"
"07/22/1938","Romania","Romênia","LOT Polish Airlines","Lockheed 14H Super Electra",14,"Caiu após ser atingido por um raio.","1938",14,477,"Europa"
"07/27/1938","Kenya","Quênia","Imperial Airways","Armstrong-Withworth Atlanta",4,"Voou para uma encosta logo após a decolagem de Kisumu. O navio foi denominado 'Amalthea'.","1938",4,479,"África"
"08/13/1938","Germany","Alemanha","CSA Czech Airlines","Savoia-Marchetti SM73",17,"Caiu nas montanhas da Floresta Negra em más condições climáticas. Uma aeromoça sobreviveu.","1938",16,483,"Europa"
"08/15/1938","Brazil","Brasil","Syndicato Condor","Junkers JU-52 / 3m",9,"Depois de decolar, voou em uma onda de montanha, deu um mergulho e bateu na Baía de Guanabara.","1938",9,484,"América"
"08/18/1938","Romania","Romênia","LOT Polish Airlines","Lockheed 14 Electra",7,"Peguei fogo depois de um looping do solo.","1938",7,485,"Europa"
"08/18/1938","Italy","Itália","Macchi","Macchi C-94",13,"O hidroavião caiu logo após decolar.","1938",13,486,"Europa"
"08/24/1938","China","China","China National Aviation Corporation","Douglas DC-2",17,"Durante a rota de Hong Kong para Chungking, a aeronave foi abatida por caças militares japoneses. A aeronave foi nomeada Kweilin.","1938",14,487,"Ásia"
"08/29/1938","Australia","Austrália","North Queensland Airways","De Havilland DH-84",9,"Caiu em um canavial ao tentar pousar quando o piloto desviou para evitar um trator.","1938",5,488,"Oceânia"
"10/01/1938","Switzerland","Suíça","Deutsche Lufthansa","Junkers JU-52 / 3m",13,"Ausência de. Uma mala postal encontrada em uma geleira.","1938",13,490,"Europa"
"10/10/1938","Germany","Alemanha","Sabena","Savbia-Marchetti S-73P",20,"A aeronave quebrou no ar e caiu no chão. Aeroporto.","1938",20,491,"Europa"
"10/25/1938","Australia","Austrália","Australian National Airways","Douglas DC-2-112",18,"Caiu no Monte. Daodenong enquanto a caminho","1938",18,492,"Oceânia"
"11/04/1938","Jersey","Jersey","Jersey Airways","de Havilland DH-86",14,"Pegou fogo e caiu em um campo dois minutos depois de decolar. Um trabalhador rural foi esmagado até a morte quando os destroços caíram sobre ele.","1938",0,494,"Europa"
"11/27/1938","Iraq","Iraque","Imperial Airways","Short Empire Flying Boat",6,"O barco voador caiu no Lago Ramadi.","1938",4,498,"Ásia"
"12/08/1938","Japan","Japão","Japan Aviation Corporation","Nakajima DC-2",12,"Caiu no mar perto de Okinawa devido a uma falha de motor.","1938",10,500,"Ásia"
"12/12/1938","Australia","Austrália","Qantas","Barco voador curto da classe S23 'C'",13,"Abatido por um avião japonês. Propriedade da Imperial Airways e operada pela Qanta","1938",13,502,"Oceânia"
"01/07/1939","France","França","Swissair","Douglas DC-2-115B",9,"A aeronave caiu ao tentar pousar.","1939",5,503,"Europa"
"01/13/1939","Brazil","Brasil","Syndicato Condor","Junkers JU-52 / 3m",9,"O hidroavião caiu em chamas nas montanhas do nordeste do Rio de Janeiro.","1939",9,505,"América"
"01/18/1939","Australia","Austrália","Guinea Airways","Lockheed 14 Electra",4,"Caiu no rio Katherine durante uma tempestade.","1939",4,506,"Oceânia"
"08/09/1940","Germany","Alemanha","Deutsche Lufthansa","Douglas DC-2-115H",13,"Erro do piloto.","1940",2,512,"Europa"
"04/03/1939","Morocco","Marrocos","Ar francês","Caudron C.635 Simoun",9,"Caiu em uma montanha.","1939",9,515,"África"
"05/02/1939","Morocco","Marrocos","Ar francês","Dewoitine D-338",9,"Caiu devido ao glacê.","1939",9,517,"África"
"05/08/1939","Ecuador","Equador","Militar - Força Aérea Equatoriana","Curtiss-Wright C-14 Osprey",1,"Durante a execução de acrobacias, a aeronave perdeu o controle e colidiu com vários edifícios perto de uma faculdade.","1939",0,518,"América"
"07/20/1939","Switzerland","Suíça","Swissair","Junkers JU86 Z-2",6,"A aeronave caiu após um incêndio no motor.","1939",6,520,"Europa"
"08/04/1939","Spain","Espanha","Deutsche Lufthansa","Junkers JU-52 / 3m",7,"Caiu nas montanhas Llaveria em meio a forte neblina e pegou fogo. O avião atingiu o pico mais alto das montanhas.","1939",7,521,"Europa"
"08/13/1939","Brazil","Brasil","Pan American World Airways","Sikorsky S43 (barco voador)",16,"O avião perdeu potência do motor esquerdo, guinou para a esquerda e começou uma curva descendente na mesma direção. O avião continuou a perder altitude e a fazer curvas em um ângulo cada vez mais acentuado até que atingiu um caixão ancorado em ângulos retos em uma pequena ilha no porto imediatamente adjacente ao seu caminho de aproximação de pouso. Perda de potência do motor esquerdo durante a aproximação de pouso, exigindo uma tentativa de pouso em condições extremamente perigosas.","1939",14,522,"América"
"08/15/1939","Denmark","Dinamarca","British Airways","Lockheed 10 Electra",6,"Caiu no mar após um incêndio a bordo.","1939",5,523,"Europa"
"08/30/1939","Germany","Alemanha","Deutsche Lufthansa","Junkers JU-52 / 3m",7,"A aeronave caiu durante a decolagem de Hanover. A visibilidade era ruim devido à baixa neblina que cobria a pista. O piloto estava procurando a rota de vôo adequada quando o avião desviou em direção a um prédio ainda 40 metros acima do solo. O piloto tentou levantar o avião enquanto tentava virar à esquerda ao mesmo tempo, mas perdeu o controle e caiu e o avião pegou fogo. Os passageiros eram pilotos da Lufthansa.","1939",7,525,"Europa"
"12/24/1939","Morocco","Marrocos","Linee Aeree Italiane","Savoia-Marchetti SM83",7,"Caiu em uma tempestade ao tentar fazer uma aterrissagem forçada.","1939",7,530,"África"
"06/20/1940","France","França","Ar francês","Dewoitine D-338",1,"Inadvertidamente abatido por fogo antiaéreo francês.","1940",1,536,"Europa"
"08/13/1940","Australia","Austrália","Militar - Força Aérea Real Australiana","Lockheed Hudson A16-97",10,"O avião foi visto circulando o Aeródromo de Canberra, após o qual rumou para o oeste para fazer a aproximação final para o pouso. A aeronave desapareceu momentaneamente atrás de uma das colinas que circundam o aeroporto e, em seguida, reapareceu. Ouviu-se o som de motores sendo disparados e, em seguida, a aeronave desapareceu novamente. Uma explosão e a visão de uma grande nuvem de fumaça preta se seguiram. Todos a bordo do Hudson foram mortos, incluindo vários líderes militares australianos de alto escalão. Uma testemunha disse mais tarde que a aeronave parecia ter deixado cair a asa esquerda e, em seguida, mergulhar o nariz abruptamente, um sintoma clássico de um estol, muito perto do solo para se recuperar.","1940",10,538,"Oceânia"
"08/23/1940","Romania","Romênia","LARES","Douglas DC-3",18,"Caiu em uma área montanhosa durante uma tempestade de granizo.","1940",14,539,"Europa"
"10/29/1940","China","China","China National Aviation Corporation","Douglas DC-2",14,"Abatido por combatentes militares japoneses. O avião colidiu com 5 caças japoneses e fez um pouso de emergência em um campo remoto, apenas para ser metralhado enquanto tentava escapar.","1940",9,541,"Ásia"
"10/29/1940","Germany","Alemanha","Deutsche Lufthansa","Douglas DC-3",15,"Relacionado com o clima.","1940",2,542,"Europa"
"11/08/1940","Germany","Alemanha","Deutsche Lufthansa","Junkers JU-90",29,"Glacê.","1940",29,544,"Europa"
"01/20/1941","China","China","China National Aviation Corporation","Ford 5-AT Tri-motor",6,"Caiu nas montanhas durante uma tempestade","1941",5,550,"Ásia"
"03/01/1941","Norway","Noruega","Deutsche Lufthansa","Junkers JU-52 / 3m",12,"O hidroavião caiu ao tentar pousar.","1941",3,554,"Europa"
